event_id,subscription_id,customer_id,event_type,event_date,old_plan_id,new_plan_id,mrr_change_cents
1,1,1,new_business,2023-01-15,,2,2900
2,2,2,new_business,2023-01-22,,6,19900
3,3,3,new_business,2023-02-01,,4,7900
4,4,4,new_business,2023-02-10,,7,16658
5,5,5,new_business,2023-02-14,,7,16658
6,6,6,new_business,2023-03-01,,6,19900
7,7,7,new_business,2023-03-05,,4,7900
8,8,8,new_business,2023-03-12,,2,2900
9,9,9,new_business,2023-03-20,,5,6658
10,10,10,new_business,2023-04-01,,6,19900
11,11,11,new_business,2023-04-10,,7,16658
12,12,12,new_business,2023-04-15,,6,19900
13,13,13,new_business,2023-04-22,,1,0
14,14,14,new_business,2023-05-01,,2,2900
15,15,15,new_business,2023-05-10,,4,7900
16,16,16,new_business,2023-05-15,,2,2900
17,17,17,new_business,2023-05-20,,2,2900
18,18,18,new_business,2023-06-01,,4,7900
19,19,19,new_business,2023-06-10,,1,0
20,20,20,new_business,2023-06-15,,2,2900
21,21,21,new_business,2023-06-20,,7,16658
22,22,22,new_business,2023-07-01,,5,6658
23,23,23,new_business,2023-07-10,,6,19900
24,24,24,new_business,2023-07-15,,7,16658
25,25,25,new_business,2023-07-20,,4,7900
26,1,1,upgrade,2023-02-15,2,4,5000
27,8,8,upgrade,2023-04-12,2,4,5000
28,13,13,upgrade,2023-05-22,1,2,2900
29,14,14,upgrade,2023-06-01,2,4,5000
30,17,17,upgrade,2023-07-20,2,4,5000
31,6,6,downgrade,2023-06-01,6,4,-12000
32,1,1,churn,2023-04-15,4,,-7900
33,8,8,churn,2023-06-12,4,,-7900
34,13,13,churn,2023-07-01,2,,-2900
35,6,6,churn,2023-09-01,4,,-7900
36,16,16,churn,2023-08-15,2,,-2900
37,26,26,new_business,2023-08-01,,7,16658
38,27,27,new_business,2023-08-10,,4,7900
39,28,28,new_business,2023-08-15,,2,2900
40,29,29,new_business,2023-08-20,,7,16658
41,30,30,new_business,2023-09-01,,1,0
42,20,20,upgrade,2023-08-15,2,4,5000
43,3,3,upgrade,2023-09-01,4,6,12000
