subscription_id,customer_id,plan_id,started_at,ended_at,status,billing_interval
1,1,2,2023-01-15,2023-04-15,churned,monthly
2,2,6,2023-01-22,,active,monthly
3,3,4,2023-02-01,,active,monthly
4,4,7,2023-02-10,,active,annual
5,5,7,2023-02-14,,active,annual
6,6,6,2023-03-01,2023-09-01,churned,monthly
7,7,4,2023-03-05,,active,monthly
8,8,2,2023-03-12,2023-06-12,churned,monthly
9,9,5,2023-03-20,,active,annual
10,10,6,2023-04-01,,active,monthly
11,11,7,2023-04-10,,active,annual
12,12,6,2023-04-15,,active,monthly
13,13,1,2023-04-22,2023-07-01,churned,monthly
14,14,2,2023-05-01,,active,monthly
15,15,4,2023-05-10,,active,monthly
16,16,2,2023-05-15,2023-08-15,churned,monthly
17,17,2,2023-05-20,,active,monthly
18,18,4,2023-06-01,,active,monthly
19,19,1,2023-06-10,,active,monthly
20,20,2,2023-06-15,,active,monthly
21,21,7,2023-06-20,,active,annual
22,22,5,2023-07-01,,active,annual
23,23,6,2023-07-10,,active,monthly
24,24,7,2023-07-15,,active,annual
25,25,4,2023-07-20,,active,monthly
26,26,7,2023-08-01,,active,annual
27,27,4,2023-08-10,,active,monthly
28,28,2,2023-08-15,,active,monthly
29,29,7,2023-08-20,,active,annual
30,30,1,2023-09-01,,active,monthly
